Num Threads, Speedup, Time
1, 0,0.435335
2, 2.02216, 0.215283
3, 1.9436, 0.223985
4, 3.11715, 0.139658
5, 2.11262, 0.206064
6, 3.24448, 0.134177
7, 3.08995, 0.140888
8, 3.85042, 0.113062
9, 3.36489, 0.129376
10, 3.91126, 0.111303
11, 3.93149, 0.11073
12, 3.76474, 0.115635
13, 3.98426, 0.109264
14, 4.28861, 0.10151
15, 3.8648, 0.112641
16, 2.91698, 0.149242
17, 3.45628, 0.125955
18, 2.98591, 0.145797
19, 2.42223, 0.179725
20, 2.56083, 0.169998
