Num Threads, Speedup, Time
1, 0,0.204775
2, 1.4899, 0.137442
3, 1.99092, 0.102854
4, 1.72798, 0.118505
5, 2.0763, 0.098625
6, 2.56147, 0.0799443
7, 2.37838, 0.0860984
8, 3.10757, 0.0658956
9, 2.54817, 0.0803615
10, 3.136, 0.0652982
11, 2.95517, 0.0692938
12, 3.38937, 0.0604168
