Num Threads, Speedup, Time
1, 0,1.42502
2, 1.19799, 1.18951
3, 1.53677, 0.927281
4, 1.54649, 0.921453
5, 1.78604, 0.797863
6, 1.83512, 0.776527
7, 1.83292, 0.777456
8, 1.7993, 0.791984
9, 1.65862, 0.859159
10, 1.91365, 0.744659
11, 1.92772, 0.739224
12, 2.24948, 0.633487
