Iteration, Time
1, 2.58615
2, 2.43805
3, 2.29686
4, 2.33232
5, 2.37804
6, 2.34639
7, 2.39633
8, 2.27524
9, 2.28319
10, 2.26705
11, 2.27834
12, 2.28317
13, 2.32755
14, 2.3482
15, 2.30241
16, 2.29532
17, 2.30766
18, 2.30582
19, 2.32871
20, 2.34447
