Num Threads, Speedup, Time
1, 0,0.565151
2, 0.437585, 1.29152
3, 0.49872, 1.1332
4, 0.460369, 1.2276
5, 0.537286, 1.05186
6, 0.573527, 0.985396
7, 0.66776, 0.846338
8, 0.640553, 0.882286
9, 0.709692, 0.796332
10, 0.73176, 0.772318
11, 0.80993, 0.697777
12, 0.917246, 0.616139
