Iteration, Time
1, 0.551193
2, 0.52381
3, 0.519666
4, 0.517434
5, 0.514039
6, 0.523381
7, 0.52578
8, 0.525258
9, 0.525645
10, 0.518006
11, 0.5186
12, 0.522667
13, 0.514925
14, 0.516164
15, 0.52194
16, 0.514474
17, 0.518051
18, 0.511565
19, 0.51613
20, 0.519044
